NUMDOS|NUMDOSVERLING|ANCART|FILIERE|ETAPE|VERLING|FORMAT
DD638050|DD638050|LNEN60034-18-21/A2|ETR|99.60|E|PDFC
DD639050|DD639050|LNEN60068-2-14|ETR|99.60|E|PDFC
DD640050|DD640050|LNEN60068-2-5|ETR|99.60|E|PDFC
DD641050|DD641050|LNTR62125|ETR|60.62|E|PDFC
DD642050|DD642050|LNEN50410|ETR|60.62|E|PDFC
DD643050|DD643050|LNEN61009-1/A11|ETR|99.60|E|PDFC
DD644050|DD644050|LNEN60068-5-2|ETR|60.62|E|PDFC
DD645050|DD645050|LNEN60079-1/AC|ETR|99.60|E|PDFC
DD646050|DD646050|LNEN60079-1|ETR|99.60|E|PDFC
DD647050|DD647050|LNEN60601-2-39|ETR|99.60|E|PDFC
DD648050|DD648050|LNEN60118-4|ETR|99.60|E|PDFC
DD649050|DD649050|LNEN60146-1-1|ETR|99.60|E|PDFC
DD650050|DD650050|LNEN60146-1-1/A1|ETR|99.60|E|PDFC
DD651050|DD651050|LNEN60249-2-1|ETR|99.60|E|PDFC
DD652050|DD652050|LNEN60249-2-1/A2|ETR|99.60|E|PDFC
DD653050|DD653050|LNEN60249-2-10|ETR|99.60|E|PDFC
DD654050|DD654050|LNEN60249-2-10/A4|ETR|99.60|E|PDFC
DD655050|DD655050|LNEN60249-2-10/A3|ETR|99.60|E|PDFC
DD656050|DD656050|LNEN60249-2-11/A2|ETR|99.60|E|PDFC
DD657050|DD657050|LNEN60249-2-11|ETR|99.60|E|PDFC
DD658050|DD658050|LNEN60249-2-11/A3|ETR|99.60|E|PDFC
DD659050|DD659050|LNEN60249-2-12/A3|ETR|99.60|E|PDFC
DD660050|DD660050|LNEN60249-2-12/A2|ETR|99.60|E|PDFC
DD661050|DD661050|LNEN60249-2-12|ETR|99.60|E|PDFC
DD662050|DD662050|LNEN60249-2-13/A1|ETR|99.60|E|PDFC
DD663050|DD663050|LNEN60249-2-13|ETR|99.60|E|PDFC
DD664050|DD664050|LNEN60249-2-14/A4|ETR|99.60|E|PDFC
DD325051|DD325051|LNEN50121-3-2|ETR|99.60|E|PDFC
DD326051|DD326051|LNEN50121-4|ETR|99.60|E|PDFC
DD327051|DD327051|LNEN50121-3-1|ETR|99.60|E|PDFC
DD328051|DD328051|LNEN50121-1|ETR|99.60|E|PDFC
DD329051|DD329051|LNEN60264-3-4|ETR|60.62|E|PDFC
DD330051|DD330051|LNEN60264-3-2|ETR|60.62|E|PDFC
DD331051|DD331051|LNEN60264-3-5|ETR|60.62|E|PDFC
DD332051|DD332051|LNEN50121-5|ETR|99.60|E|PDFC
DD333051|DD333051|LNEN61897|ETR|99.60|E|PDFC
DD334051|DD334051|LNEN61395|ETR|60.62|E|PDFC
DD335051|DD335051|LNEN60317-4|ETR|60.62|E|PDFC
DD336051|DD336051|LNEN60317-37|ETR|99.60|E|PDFC
DD337051|DD337051|LNEN61854|ETR|99.60|E|PDFC
DD338051|DD338051|LNEN60317-52|ETR|99.60|E|PDFC
DD339051|DD339051|LNEN60317-45|ETR|99.60|E|PDFC
DD340051|DD340051|LNEN60317-53|ETR|99.60|E|PDFC
DD341051|DD341051|LNEN62079|ETR|60.62|E|PDFC
DD342051|DD342051|LNEN60745-1|ETR|99.60|E|PDFC
DD343051|DD343051|LNEN81714-3|ETR|60.62|E|PDFC
DD344051|DD344051|LNEN60947-3/A1|ETR|99.60|E|PDFC
DD345051|DD345051|LNEN61834-10|ETR|60.62|E|PDFC
DD346051|DD346051|LNEN60044-2/A1|ETR|99.60|E|PDFC
DD347051|DD347051|LNEN61334-5-1|ETR|60.62|E|PDFC
DD348051|DD348051|LNEN61230/A11|ETR|99.60|E|PDFC
DD349051|DD349051|LNEN60322|ETR|60.62|E|PDFC
DD350051|DD350051|LNEN50266-2-2|ETR|99.60|E|PDFC
DD351051|DD351051|LNEN50266-2-4|ETR|99.60|E|PDFC
DD352051|DD352051|LNEN50266-2-1|ETR|99.60|E|PDFC
DD353051|DD353051|LNEN50266-1|ETR|99.60|E|PDFC
DD354051|DD354051|LNEN50266-2-5|ETR|99.60|E|PDFC
DD355051|DD355051|LNEN50266-2-3|ETR|99.60|E|PDFC
DD356051|DD356051|LNEN61518|ETR|60.62|E|PDFC
DD357051|DD357051|LNEN50132-5|ETR|99.60|E|PDFC
DD358051|DD358051|LNEN61851-22|ETR|60.62|E|PDFC
DD359051|DD359051|LNEN50274|ETR|60.62|E|PDFC
DD360051|DD360051|LNEN61850-4|ETR|99.60|E|PDFC
DD361051|DD361051|LNEN61850-3|ETR|99.60|E|PDFC
DD362051|DD362051|LNEN61427|ETR|99.60|E|PDFC
DD363051|DD363051|LNEN60730-2-2|ETR|99.60|E|PDFC
DD364051|DD364051|LNEN60947-4-2/A1|ETR|99.60|E|PDFC
DD365051|DD365051|LNEN60317-23/A1|ETR|99.60|E|PDFC
DD366051|DD366051|LNEN60325|ETR|60.62|E|PDFC
DD367051|DD367051|LNEN60730-2-15/A11|ETR|99.60|E|PDFC
DD368051|DD368051|LNEN60998-2-2|ETR|60.62|E|PDFC
DD665050|DD665050|LNEN60249-2-14/A3|ETR|99.60|E|PDFC
DD666050|DD666050|LNEN60249-2-14|ETR|99.60|E|PDFC
DD667050|DD667050|LNEN60249-2-16/A2|ETR|99.60|E|PDFC
DD668050|DD668050|LNEN60249-2-16/A1|ETR|99.60|E|PDFC
DD669050|DD669050|LNEN60249-2-17/A1|ETR|99.60|E|PDFC
DD670050|DD670050|LNEN60249-2-17/A2|ETR|99.60|E|PDFC
DD671050|DD671050|LNEN60249-2-18/A1|ETR|99.60|E|PDFC
DD672050|DD672050|LNEN60249-2-18/A2|ETR|99.60|E|PDFC
DD673050|DD673050|LNEN60249-2-19/A1|ETR|99.60|E|PDFC
DD674050|DD674050|LNEN60249-2-19/A2|ETR|99.60|E|PDFC
DD675050|DD675050|LNEN60249-2-3|ETR|99.60|E|PDFC
DD676050|DD676050|LNEN60249-2-3/A2|ETR|99.60|E|PDFC
DD677050|DD677050|LNEN60249-2-3/A3|ETR|99.60|E|PDFC
DD678050|DD678050|LNEN60249-2-4/A4|ETR|99.60|E|PDFC
DD679050|DD679050|LNEN60249-2-4|ETR|99.60|E|PDFC
DD680050|DD680050|LNEN60249-2-4/A3|ETR|99.60|E|PDFC
DD681050|DD681050|LNEN60249-2-5/A3|ETR|99.60|E|PDFC
DD682050|DD682050|LNEN60249-2-5|ETR|99.60|E|PDFC
DD683050|DD683050|LNEN60249-2-5/A4|ETR|99.60|E|PDFC
DD684050|DD684050|LNEN60249-2-6/A3|ETR|99.60|E|PDFC
DD685050|DD685050|LNEN60249-2-7/A2|ETR|99.60|E|PDFC
DD686050|DD686050|LNEN60249-2-7/A3|ETR|99.60|E|PDFC
DD687050|DD687050|LNEN60249-2-7|ETR|99.60|E|PDFC
DD688050|DD688050|LNEN60249-2-8/A1|ETR|99.60|E|PDFC
DD689050|DD689050|LNEN60249-2-8|ETR|99.60|E|PDFC
DD690050|DD690050|LNEN60249-2-9|ETR|99.60|E|PDFC
DD691050|DD691050|LNEN60249-2-9/A3|ETR|99.60|E|PDFC
DD692050|DD692050|LNEN60249-2-9/A4|ETR|99.60|E|PDFC
DD693050|DD693050|LNEN60255-27|ETR|99.60|E|PDFC
DD694050|DD694050|LNEN60269-4|ETR|99.60|E|PDFC
DD695050|DD695050|LNEN60269-4/A1|ETR|99.60|E|PDFC
DD696050|DD696050|LNEN60315-3/A1|ETR|60.62|E|PDFC
DD697050|DD697050|LNEN60317-0-5/A1|ETR|99.60|E|PDFC
DD698050|DD698050|LNEN60317-19/A2|ETR|60.62|E|PDFC
DD699050|DD699050|LNEN60317-19/A1|ETR|60.62|E|PDFC
DD700050|DD700050|LNEN60317-2/A1|ETR|99.60|E|PDFC
DD701050|DD701050|LNEN60317-2/A2|ETR|99.60|E|PDFC
DD702050|DD702050|LNEN60317-2|ETR|99.60|E|PDFC
DD703050|DD703050|LNEN60317-20/A1|ETR|99.60|E|PDFC
DD704050|DD704050|LNEN60317-20/A2|ETR|99.60|E|PDFC
DD705050|DD705050|LNEN60317-21/A1|ETR|99.60|E|PDFC
DD706050|DD706050|LNEN60317-21/A2|ETR|99.60|E|PDFC
DD707050|DD707050|LNEN60317-31/A1|ETR|99.60|E|PDFC
DD708050|DD708050|ENV50354|ETR|99.60|E|PDFC
DD369051|DD369051|LNEN60998-2-1|ETR|60.62|E|PDFC
DD768051|DD768051|LNEN61078|ETR|99.60|E|PDFC
DD769051|DD769051|LNEN61168|ETR|60.62|E|PDFC
DD770051|DD770051|LNEN60619|ETR|60.62|E|PDFC
DD771051|DD771051|LNEN61287-1|ETR|99.60|E|PDFC
DD772051|DD772051|LNEN61733-1|ETR|60.62|E|PDFC
DD773051|DD773051|LNEN61150|ETR|99.60|E|PDFC
DD774051|DD774051|LNEN61040|ETR|60.62|E|PDFC
DD775051|DD775051|LNEN61144|ETR|60.62|E|PDFC
DD776051|DD776051|LNEN60974-1|ETR|99.60|E|PDFC
DD777051|DD777051|LNEN50260-1|ETR|99.60|E|PDFC
DD778051|DD778051|LNEN60730-2-9|ETR|99.60|E|PDFC
DD779051|DD779051|LNEN50209|ETR|60.62|E|PDFC
DD780051|DD780051|LNEN50267-2-1|ETR|99.60|E|PDFC
DD781051|DD781051|LNEN60317-31|ETR|99.60|E|PDFC
DD782051|DD782051|LNEN000125|ETR|60.62|E|PDFC
DD783051|DD783051|LNEN60529/A1|ETR|60.62|E|PDFC
DD784051|DD784051|LNEN60947-5-1/A2|ETR|99.60|E|PDFC
DD785051|DD785051|LNEN60445|ETR|99.60|E|PDFC
DD786051|DD786051|LNEN402140|ETR|99.60|E|PDFC
DD787051|DD787051|LNEN60269-2/A1|ETR|99.60|E|PDFC
DD788051|DD788051|LNEN61076-2|ETR|99.60|E|PDFC
DD789051|DD789051|LNEN50080|ETR|60.62|E|PDFC
DD790051|DD790051|LNEN50083-1|ETR|99.60|E|PDFC
DD791051|DD791051|LNEN60730-2-7|ETR|99.60|E|PDFC
DD792051|DD792051|LNEN60335-2-45|ETR|99.60|E|PDFC
DD793051|DD793051|LNEN60920|ETR|99.60|E|PDFC
DD794051|DD794051|LNEN60061-4/A1|ETR|60.62|E|PDFC
DD795051|DD795051|LNEN60598-2-17/A2|ETR|99.60|E|PDFC
DD796051|DD796051|LNEN60641-1|ETR|99.60|E|PDFC
DD797051|DD797051|LNEN60947-6-1/A2|ETR|99.60|E|PDFC
DD798051|DD798051|LNEN60156|ETR|60.62|E|PDFC
DD799051|DD799051|LNEN60127-4|ETR|99.60|E|PDFC
DD800051|DD800051|LNEN61605|ETR|99.60|E|PDFC
DD801051|DD801051|LNEN60431|ETR|99.60|E|PDFC
DD802051|DD802051|LNEN60081|ETR|60.62|E|PDFC
DD803051|DD803051|LNEN61843|ETR|60.62|E|PDFC
DD804051|DD804051|LNEN61248-7|ETR|60.62|E|PDFC
DD805051|DD805051|LNEN60694|ETR|99.60|E|PDFC
DD806051|DD806051|LNEN50203|ETR|60.62|E|PDFC
DD807051|DD807051|LNEN60107-8|ETR|60.62|E|PDFC
DD808051|DD808051|LNEN60519-4|ETR|99.60|E|PDFC
DD809051|DD809051|LNEN61300-2-21|ETR|99.60|E|PDFC
DD810051|DD810051|LNEN61300-2-25|ETR|99.60|E|PDFC
DD811051|DD811051|LNEN61300-2-23|ETR|99.60|E|PDFC
DD709050|DD709050|LNEN60317-32/A1|ETR|99.60|E|PDFC
DD710050|DD710050|LNEN60317-36/A2|ETR|99.60|E|PDFC
DD711050|DD711050|LNEN60317-36/A1|ETR|99.60|E|PDFC
DD712050|DD712050|LNEN60317-37/A1|ETR|99.60|E|PDFC
DD713050|DD713050|LNEN60317-37/A2|ETR|99.60|E|PDFC
DD714050|DD714050|LNEN60317-38/A1|ETR|99.60|E|PDFC
DD715050|DD715050|LNEN60317-38/A2|ETR|99.60|E|PDFC
DD716050|DD716050|LNEN60317-4/A1|ETR|60.62|E|PDFC
DD717050|DD717050|LNEN60317-4/A2|ETR|60.62|E|PDFC
DD718050|DD718050|LNEN60335-2-21/AC|ETR|60.62|E|PDFC
DD719050|DD719050|LNEN60335-2-21|ETR|60.62|E|PDFC
DD720050|DD720050|LNEN60335-2-24|ETR|99.60|E|PDFC
DD721050|DD721050|LNEN60335-2-24/AC|ETR|99.60|E|PDFC
DD722050|DD722050|LNEN60335-2-30/A1|ETR|99.60|E|PDFC
DD723050|DD723050|LNEN60335-2-31/AC|ETR|60.62|E|PDFC
DD724050|DD724050|LNEN60335-2-31|ETR|99.60|E|PDFC
DD725050|DD725050|LNEN60335-2-36|ETR|60.62|E|PDFC
DD726050|DD726050|LNEN60335-2-36/AC|ETR|60.62|E|PDFC
DD727050|DD727050|LNEN60335-2-37|ETR|60.62|E|PDFC
DD728050|DD728050|LNEN60335-2-37/AC|ETR|60.62|E|PDFC
DD729050|DD729050|LNEN60335-2-38|ETR|60.62|E|PDFC
DD730050|DD730050|LNEN60335-2-38/AC|ETR|60.62|E|PDFC
DD731050|DD731050|LNEN60335-2-39|ETR|60.62|E|PDFC
DD732050|DD732050|LNEN60335-2-39/AC|ETR|60.62|E|PDFC
DD733050|DD733050|LNEN60335-2-4/AC|ETR|99.60|E|PDFC
DD734050|DD734050|LNEN60335-2-4|ETR|99.60|E|PDFC
DD735050|DD735050|LNEN60335-2-40/AC|ETR|60.62|E|PDFC
DD736050|DD736050|LNEN60335-2-40|ETR|60.62|E|PDFC
DD737050|DD737050|LNEN60335-2-42|ETR|60.62|E|PDFC
DD738050|DD738050|LNEN60335-2-42/AC|ETR|60.62|E|PDFC
DD739050|DD739050|LNEN60335-2-48/AC|ETR|60.62|E|PDFC
DD740050|DD740050|LNEN60335-2-48|ETR|60.62|E|PDFC
DD741050|DD741050|LNEN60335-2-49|ETR|60.62|E|PDFC
DD742050|DD742050|LNEN60335-2-49/AC|ETR|60.62|E|PDFC
DD743050|DD743050|LNEN60335-2-50|ETR|60.62|E|PDFC
DD744050|DD744050|LNEN60335-2-50/AC|ETR|60.62|E|PDFC
DD745050|DD745050|LNEN60335-2-58/A1|ETR|99.60|E|PDFC
DD746050|DD746050|LNEN60335-2-58A1AC|ETR|99.60|E|PDFC
DD747050|DD747050|LNEN60335-2-58|ETR|60.62|E|PDFC
DD748050|DD748050|LNEN60335-2-58/AC|ETR|60.62|E|PDFC
DD749050|DD749050|LNEN60335-2-62/AC|ETR|60.62|E|PDFC
DD750050|DD750050|LNEN60335-2-62|ETR|60.62|E|PDFC
DD751050|DD751050|LNEN60335-2-69|ETR|99.60|E|PDFC
DD752050|DD752050|LNEN60335-2-69/A1|ETR|99.60|E|PDFC
DD502051|DD502051|LNEN61249-2-18|ETR|60.62|E|PDFC
DD503051|DD503051|LNEN60947-4-3|ETR|99.60|E|PDFC
DD504051|DD504051|LNEN61229|ETR|60.62|E|PDFC
DD505051|DD505051|LNEN60269-1|ETR|99.60|E|PDFC
DD506051|DD506051|LNEN60922|ETR|99.60|E|PDFC
DD507051|DD507051|LNEN60793-1-20|ETR|99.60|E|PDFC
DD508051|DD508051|LNEN60034-1|ETR|99.60|E|PDFC
DD509051|DD509051|LNEN60835-2-6|ETR|60.62|E|PDFC
DD510051|DD510051|LNEN60730-1|ETR|99.60|E|PDFC
DD511051|DD511051|LNEN50148|ETR|60.62|E|PDFC
DD512051|DD512051|LNEN60118-12|ETR|60.62|E|PDFC
DD513051|DD513051|LNEN60335-2-17|ETR|99.60|E|PDFC
DD514051|DD514051|LNEN60669-2-2|ETR|99.60|E|PDFC
DD515051|DD515051|LNEN60598-2-25|ETR|60.62|E|PDFC
DD516051|DD516051|LNEN60060-2|ETR|99.60|E|PDFC
DD517051|DD517051|LNEN60809|ETR|99.60|E|PDFC
DD518051|DD518051|LNEN50091-2|ETR|99.60|E|PDFC
DD519051|DD519051|LNEN60601-2-25|ETR|99.60|E|PDFC
DD520051|DD520051|LNEN60598-2-20/A1|ETR|99.60|E|PDFC
DD521051|DD521051|LNEN61249-2-22|ETR|60.62|E|PDFC
DD522051|DD522051|LNEN60924/A1|ETR|99.60|E|PDFC
DD523051|DD523051|LNEN60730-2-7/A1|ETR|99.60|E|PDFC
DD524051|DD524051|LNEN60598-2-19/A2|ETR|60.62|E|PDFC
DD525051|DD525051|LNEN61254|ETR|60.62|E|PDFC
DD526051|DD526051|LNEN60299|ETR|99.60|E|PDFC
DD527051|DD527051|LNEN61267|ETR|99.60|E|PDFC
DD528051|DD528051|LNEN60601-2-35|ETR|99.60|E|PDFC
DD529051|DD529051|LNEN61249-2-2|ETR|60.62|E|PDFC
DD530051|DD530051|LNEN61012|ETR|60.62|E|PDFC
DD531051|DD531051|LNEN60264-2-3|ETR|60.62|E|PDFC
DD532051|DD532051|LNEN60264-3-3|ETR|60.62|E|PDFC
DD533051|DD533051|LNEN60721-3-4|ETR|99.60|E|PDFC
DD534051|DD534051|LNEN60454-3-3|ETR|99.60|E|PDFC
DD535051|DD535051|LNEN60454-3-4|ETR|99.60|E|PDFC
DD536051|DD536051|LNEN60454-3-5|ETR|99.60|E|PDFC
DD537051|DD537051|LNEN60455-2|ETR|99.60|E|PDFC
DD538051|DD538051|LNEN60454-3-6|ETR|60.62|E|PDFC
DD539051|DD539051|LNEN60454-3-7|ETR|60.62|E|PDFC
DD540051|DD540051|LNEN60454-3-9|ETR|99.60|E|PDFC
DD541051|DD541051|LNEN60454-3-11|ETR|99.60|E|PDFC
DD542051|DD542051|LNEN60455-1|ETR|60.62|E|PDFC
DD543051|DD543051|LNEN60243-1|ETR|99.60|E|PDFC
DD544051|DD544051|LNEN60672-3|ETR|60.62|E|PDFC
DD545051|DD545051|LNEN60371-3-1|ETR|99.60|E|PDFC
DD753050|DD753050|LNEN60335-2-7/A1|ETR|99.60|E|PDFC
DD754050|DD754050|LNEN60335-2-7|ETR|99.60|E|PDFC
DD755050|DD755050|LNEN60335-2-7/AC|ETR|99.60|E|PDFC
DD757050|DD757050|LNEN60352-2|ETR|99.60|E|PDFC
